№;Предмет; Стоимость; Вес; Описание
1;Абак; (money:: 2 зм. $% 100);2 фнт.; 
2;Алхимический огонь (фляга); 50 зм; 1 фнт.;(modalinfo::Алхимический огонь.$% Эта вязкая и клейкая жидкость воспламеняется при контакте с воздухом. Вы можете действием метнуть фляжку на расстояние до 20 футов, разбив её от удара. Совершите дальнобойную атаку по существу или предмету, считая алхимический огонь импровизированным оружием. При попадании цель получает урон огнём 1к4 в начале каждого своего хода. Существо может окончить этот урон, потратив действие на тушение пламени, и совершив проверку Ловкости со Сл 10.$% Советы опытного Джо)
3;Блок и лебёдка; 1 зм; 5 фнт.;desc::Блок и лебёдка.$ Набор блоков и тросов с крюками для подвешивания предметов. Блок и лебёдка позволяют вам поднять в четыре раза больше, чем обычно.
4;Арбалетные болты (20) (Боеприпасы);  1 зм; 1,5 фнт.;
5;Иглы для трубки (50) (Боеприпасы); 1 зм; 1 фнт.;
6;Снаряды для пращи (20) (Боеприпасы); 4 мм; 1,5 фнт.;
7;Стрелы (20) (Боеприпасы); 1 зм; 1 фнт.;
8;Бочка; 2 зм; 70 фнт.;
9;Бумага (один лист); 2 см; —;
10;Бурдюк; 2 см; 5 фнт. (полн.);
11;Бутылка, стеклянная; 2 зм; 2 фнт.;
12;Ведро; 5 мм; 2 фнт.;
13;Верёвка пеньковая (50 футов); 1 зм; 10 фнт.; desc::Верёвка.$ У верёвки, сделанной из пеньки или шёлка, 2 хита, и её можно порвать проверкой Силы со Сл 17. 
14;Верёвка, шёлковая (50 футов); 10 зм; 5 фнт.; desc::Верёвка.$ У верёвки, сделанной из пеньки или шёлка, 2 хита, и её можно порвать проверкой Силы со Сл 17. 
15;Весы, торговые; 5 зм; 3 фнт.; desc::Весы, торговые.$ В набор входят рычажные весы,чашки и набор грузиков на 2 фунта. С их помощьюможно точно измерять вес небольших предметов,таких как драгоценные металлы или товары.
16;Воск; 5 см; —;
17;Горшок, железный; 2 зм; 10 фнт.;
18;Духи (флакон); 5 зм; —;
19;Замок; 10 зм; 1 фнт.; desc::Замок.$ Вместе с замком идёт и ключ. Безключа существо, владеющее воровскими инструментами, может вскрыть замок успешной проверкой Ловкости со Сл 15. Мастер может решить, что есть более качественные замки, стоящие больше.
20;Зелье лечения; 50 зм; 0,5 фнт.;desc::Зелье лечения.$ Существо, выпившее магическую красную жидкость из этого флакона, восстанавливает 2к4 + 2 хита. Зелье выпивается или заливается в рот другому действием. 
21;Зеркало, стальное; 5 зм; 0,5 фнт.;
22;Калтропы (20 штук в сумке); 1 зм; 2 фнт.;desc::Калтропы.$ Вы можете действием рассыпать сумку калтропов по площади в 5 × 5 футов. Все существа, входящие в эту область, должны преуспеть в спасброске Ловкости со Сл 15, иначе они останавливаются и получают колющий урон 1. Пока это существо не восстановит как минимум 1 хит, его скорость ходьбы уменьшена на 10 футов. Существо, перемещающееся по этой области с уменьшенной вдвое скоростью, не обязано совершать спасбросок. 
23;Кандалы; 2 зм; 6 фнт.;desc::Кандалы.$ Эти металлические оковы удерживают существ Маленького и Среднего размера. Для того чтобы сбежать из кандалов, требуется успешная проверка Ловкости со Сл 20. Для того чтобы их сломать, требуется проверка Силы со Сл 20. Каждый набор кандалов идёт с одним ключом. Без ключа существо, владеющее воровскими инструментами, может вскрыть замок кандалов успешной проверкой Ловкости со Сл 15. У кандалов 15 хитов. 
24;Кирка, горняцкая; 2 зм; 10 фнт.;
25;Кислота (флакон); 25 зм; 1 фнт.;desc::Кислота.$ Вы можете действием выплеснуть содержимое этого сосуда на существо, находящееся в пределах 5 футов от вас, или метнуть сосуд на расстояние до 20 футов, чтобы он разбился от удара. В любом случае совершите дальнобойную атаку против существа или предмета, считая кислоту импровизированным оружием. При попадании цель получает урон кислотой 2к6. 
26;Книга; 25 зм; 5 фнт.;desc::Книга.$ В книге могут быть стихи, документальные сведения, информация о чём-либо, диаграммы и заметки о гномьих приспособлениях, или что угодно другое, представленное текстом и картинками. Книга с заклинаниями — другое дело (описана ниже).
27;Книга заклинаний; 50 зм; 3 фнт.;desc::Книга заклинаний.$ Книги заклинаний очень важны для волшебников. Это переплетённые кожей тома, содержащие 100 пустых пергаментных страниц, на которых можно записывать заклинания. 
28;Колокольчик; 1 зм; —;
29;Колчан; 1 зм; 1 фнт.;desc:: Колчан.$ В колчан помещается 20 стрел. 
30;Кольцо-печатка; 5 зм; —;
31;Комплект для лазания; 25 зм; 12 фнт.;desc::Комплект для лазания.$ В набор для лазания входят шлямбуры, накладные подошвы, перчатки и страховочная привязь. Вы можете действием использовать набор для лазания, чтобы закрепиться на высоте, если вы делаете это, вы не можете упасть более чем на 25 футов от того места, где закрепились, но и не можете подняться выше 25 футов от этого места, не открепившись.  
32;Комплект для рыбалки; 1 зм; 4 фнт.;desc::Комплект для рыбалки.$ В этот набор входит удилище, шёлковая леска, пробковый поплавок, стальные крючки, свинцовые грузила, приманки из ниток и мелкоячеистая сеть. 
33;Комплект целителя; 5 зм; 3 фнт.;desc::Комплект целителя.$ Это кожаный кошель с бинтами, мазями и шинами. Набор годится для десяти использований. Вы можете действием потратить одно использование набора для стабилизации существа, у которого 0 хитов, не совершая проверку Мудрости (Медицина). 
34;Контейнер для арбалетных болтов; 1 зм; 1 фнт.;desc::Контейнер$ для арбалетных болтов. В этот деревянный контейнер помещаются 20 арбалетных болтов. 
35;Контейнер для карт и свитков; 1 зм; 1 фнт.;desc::Контейнер$ для карт и свитков. В этом цилиндрическом кожаном тубусе может храниться до десяти скрученных листов бумаги или пять скрученных листов пергамента. 
36;Корзина; 4 см; 2 фнт.;
37;Кошель; 5 см; 1 фнт.;desc::Кошель.$ В кожаном или тканевом кошеле поместится 20 снарядов для пращи или 50 иголок для духовой трубки, а также другие вещи. Кошель с отделениями для хранения компонентов заклинаний называется мешочком с компонентами (описывается ниже).
38;Крюк-кошка; 2 зм; 4 фнт.;
39;Кувшин или графин; 2 мм; 4 фнт.;
40;Лампа; 5 см; 1 фнт.;desc::Лампа.$ Лампа испускает яркий свет в пределах 15 футов и тусклый свет в пределах ещё 30 футов. Зажжённая лампа горит 6 часов от одной фляги (1 пинта [0,5 литра]) масла
41;Лестница (10 футов); 1 см; 25 фнт.;
42;Ломик; 2 зм; 5 фнт.;desc::Ломик.$ Использование ломика позволяет совершать проверки Силы с преимуществом, если рычаг должен помочь. 
43;Лопата; 2 зм; 5 фнт.;
44;Волшебная палочка (Магическая фокусировка); 10 зм; 1 фнт.;desc::Магическая фокусировка.$ Магическая фокусировка это особый предмет — сфера, кристалл, жезл, особый посох, короткая деревянная палочка или похожий предмет — созданный для проведения тайных заклинаний. Волшебники, колдуны и чародеи могут использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. 
45;Жезл (Магическая фокусировка);10 зм; 2 фнт.;desc::Магическая фокусировка.$ Магическая фокусировка это особый предмет — сфера, кристалл, жезл, особый посох, короткая деревянная палочка или похожий предмет — созданный для проведения тайных заклинаний. Волшебники, колдуны и чародеи могут использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. 
46;Кристалл (Магическая фокусировка);10 зм; 1 фнт.;desc::Магическая фокусировка.$ Магическая фокусировка это особый предмет — сфера, кристалл, жезл, особый посох, короткая деревянная палочка или похожий предмет — созданный для проведения тайных заклинаний. Волшебники, колдуны и чародеи могут использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. 
47;Посох (Магическая фокусировка);5 зм; 4 фнт.;desc::Магическая фокусировка.$ Магическая фокусировка это особый предмет — сфера, кристалл, жезл, особый посох, короткая деревянная палочка или похожий предмет — созданный для проведения тайных заклинаний. Волшебники, колдуны и чародеи могут использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. 
48;Сфера (Магическая фокусировка);20 зм; 3 фнт.;desc::Магическая фокусировка.$ Магическая фокусировка это особый предмет — сфера, кристалл, жезл, особый посох, короткая деревянная палочка или похожий предмет — созданный для проведения тайных заклинаний. Волшебники, колдуны и чародеи могут использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. 
49;Масло (фляга); 1 см; 1 фнт.;desc::Масло.$ Обычно масло продаётся в глиняных флягах по 1 пинте (0,5 литра). Вы можете действием облить маслом из фляги существо, находящееся в пределах 5 футов, или кинуть её на 20 футов, ломая при ударе. Совершите дальнобойную атаку по целевому существу или предмету, считая масло импровизированным оружием. При попадании цель покрывается маслом. Если цель получает урон огнём, пока масло не высохло (1 минута), она получает дополнительный урон огнём 5 от горящего масла. Вы можете также вылить фляжку масла на землю, покрыв площадь 5 × 5 футов, при условии, что пол ровный. Если теперь масло поджечь, оно горит 2 раунда и причиняет урон огнём 5 всем существам, входящим в эту область или оканчивающим в ней ход. Существо может получить этот урон только один раз за ход. 
50;Мел (1 кусочек); 1 мм; —;
51;Металлические шарики (1 000 шт. в сумке); 1 зм; 2 фнт.;desc::Металлические шарики.$ Вы можете действием рассыпать из этого мешка крохотные металлические шарики, покрыв площадь 10 × 10 футов. Существа, перемещающиеся по этой области, должны преуспеть в спасброске Ловкости со Сл 10, иначе они падают ничком. Существо, перемещающееся по этой области с уменьшенной вдвое скоростью, не обязано совершать спасбросок. 
52;Мешок; 1 мм; 0,5 фнт.;
53;Мешочек с компонентами; 25 зм; 2 фнт.;desc::Мешочек с компонентами.$ Мешочек с компонентами это маленький водонепроницаемый кожаный поясной кошель с отделениями для хранения материальных компонентов и других особых предметов, нужных для накладывания заклинаний, если только у этих компонентов не указана стоимость (смотрите описание заклинания). 
54;Молот, кузнечный; 2 зм; 10 фнт.;
55;Молоток; 1 зм; 3 фнт.;
56;Мыло; 2 мм; —;
57;Одежда, дорожная; 2 зм; 4 фнт.;
58;Одежда, костюм; 5 зм; 4 фнт.;
59;Одежда, обычная; 5 см; 3 фнт.;
60;Одежда, отличная; 15 зм; 6 фнт.;
61;Одеяло; 5 см; 3 фнт.;
62;Охотничий капкан; 5 зм; 25 фнт.;desc::Охотничий капкан.$ Если вы действием установите эту ловушку, она образует стальное кольцо с зазубренными краями, которая захлопывается, когда в её центр наступает существо. Капкан привязывается толстой цепью к неподвижному предмету, такому как дерево или колышек, вбитый в землю. Существо, наступившее в центр, должно преуспеть в спасброске Ловкости со Сл 13, иначе оно получает колющий урон 1к4 и прекращает перемещение. Впоследствии, пока существо не высвободится из ловушки, его перемещения ограничены длиной цепи (обычно 1 метр). Любое существо может действием совершить проверку Силы со Сл 13, чтобы высвободить себя или другое существо, находящееся в пределах досягаемости. Каждая проваленная проверка причиняет пойманному существу колющий урон 1. 
63;Палатка, двухместная; 2 зм; 20 фнт.;desc::Палатка.$ В палатке, простом парусиновом жилище, могут спать двое. 
64;Пергамент (один лист); 1 см; —;
65;Песочные часы; 25 зм; 1 фнт.;
66;Писчее перо; 2 мм; —;
67;Подзорная труба; 1,000 зм; 1 фнт.;desc::Подзорная труба.$ Предметы, на которые смотрят в подзорную трубу, увеличиваются в два раза 
68;Противоядие (флакон); 50 зм; —;desc::Противоядие.$ Существо, выпившее жидкость из этого флакона, в течение часа совершает спасброски от яда с преимуществом. Оно не предоставляет преимущества нежити и конструктам. 
69;Рационы (1 день); 5 см; 2 фнт.;desc::Рационы.$ Рационы состоят из обезвоженной пищи, подходящей для путешествий, включая вяленое мясо, сухофрукты, галеты и орехи.
70;Рюкзак; 2 зм; 5 фнт.;
71;Ряса; 1 зм; 4 фнт.;
72;Свеча; 1 мм; —;desc::Свеча.$ В течение 1 часа свеча испускает яркий свет в пределах радиуса 5 футов и тусклый свет в пределах ещё 5 футов. 
73;Святая вода (фляга); 25 зм; 1 фнт.;desc::Святая вода.$ Вы можете действием облить содержимым этой фляги существо, находящееся в пределах 5 футов, или кинуть флягу на 20 футов, ломая при ударе. Совершите дальнобойную атаку по целевому существу, считая святую воду импровизированным оружием. Если цель — изверг или нежить, она получает урон излучением 2к6.  Жрец или паладин может создать святую воду, исполнив особый ритуал. Этот ритуал исполняется 1 час, использует толчёное серебро на 25 зм и требует, чтобы заклинатель потратил ячейку заклинаний 1 уровня. 
74;Амулет (Священный символ); 5 зм; 1 фнт.;desc::Священный символ.$ Священный символ изображает божество или целый пантеон. Это может быть амулет, изображающий символ божества, символ, выгравированный или выложенный камнями в качестве эмблемы на щите, или крохотная коробочка, в которой хранится священная реликвия. В приложении Б приводится список символов, используемый для самых распространённых богов мультивселенной. Жрец или паладин может использовать священный символ в качестве фокусировки для заклинаний, как описано в главе 10. 
75;Реликварий (Священный символ);5 зм; 2 фнт.;desc::Священный символ.$ Священный символ изображает божество или целый пантеон. Это может быть амулет, изображающий символ божества, символ, выгравированный или выложенный камнями в качестве эмблемы на щите, или крохотная коробочка, в которой хранится священная реликвия. В приложении Б приводится список символов, используемый для самых распространённых богов мультивселенной. Жрец или паладин может использовать священный символ в качестве фокусировки для заклинаний, как описано в главе 10. 
76;Эмблема (Священный символ);5 зм; —;desc::Священный символ.$ Священный символ изображает божество или целый пантеон. Это может быть амулет, изображающий символ божества, символ, выгравированный или выложенный камнями в качестве эмблемы на щите, или крохотная коробочка, в которой хранится священная реликвия. В приложении Б приводится список символов, используемый для самых распространённых богов мультивселенной. Жрец или паладин может использовать священный символ в качестве фокусировки для заклинаний, как описано в главе 10. 
77;Сигнальный свисток; 5 мм; —;
78;Спальник; 1 зм; 7 фнт.;
79;Столовый набор; 2 см; 1 фнт.;desc::Столовый набор.$ В этой небольшой коробке находится чашка и простые столовые приборы. Коробка раскрывается, и одна сторона может использоваться как сковорода, а другая — как тарелка или неглубокая миска. 
80;Сундук; 5 зм; 25 фнт.;
81;Таран, портативный; 4 зм; 35 фнт.;desc::Таран, портативный.$ Вы можете вышибать портативным тараном двери. Вы получаете бонус +4 к проверкам Силы. Если другой персонаж помогает вам использовать таран, вы совершаете проверку с преимуществом. 
82;Точильный камень; 1 мм; 1 фнт.;
83;Трутница; 5 см; 1 фнт.;desc::Трутница.$ В этом небольшом контейнере находится кремень, кресало и трут (обычно это сухая тряпка, вымоченная в масле), используемые для разжигания огня. Использование его для разжигания факела — или чего-нибудь другого, легковоспламеняющегося — требует одного действия. Разжигание другого огня требует 1 минуты. 
84;Увеличительное стекло; 100 зм; —;desc::Увеличительное стекло.$ Эта линза позволяет разглядывать маленькие предметы. Линзу также можно использовать для замены кремня и кресала. Разжигание огня увеличительным стеклом требует света, яркого как свет солнца, трута для розжига и примерно 5 минут. Увеличительное стекло позволяет совершать с преимуществом проверки характеристик, сделанных для оценки или исследования мелких и высокодетализированных предметов. 
85;Факел; 1 мм; 1 фнт.;desc::Факел.$ Факел горит 1 час, испуская яркий свет в пределах 20 футов и тусклый свет в пределах ещё 20 футов. Если вы совершаете рукопашную атаку горящим факелом и попадаете, он причиняет урон огнём 1. 
86;Флакон; 1 зм; —;
87;Фляга или большая кружка; 2 мм; 1 фнт.;
88;Веточка омелы (Фокусировка друидов); 1 зм; —;desc::Фокусировка друидов.$ Фокусировкой друида может быть веточка омелы или падуба, палочка или скипетр из тиса или другого дерева, посох, созданный из живого дерева, или тотем с перьями, мехом, костями и зубами священных животных. Друид может использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. 
89;Деревянный посох (Фокусировка друидов); 5 зм; 4 фнт.;desc::Фокусировка друидов.$ Фокусировкой друида может быть веточка омелы или падуба, палочка или скипетр из тиса или другого дерева, посох, созданный из живого дерева, или тотем с перьями, мехом, костями и зубами священных животных. Друид может использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. 
90;Тисовая палочка (Фокусировка друидов); 10 зм; 1 фнт.;desc::Фокусировка друидов.$ Фокусировкой друида может быть веточка омелы или падуба, палочка или скипетр из тиса или другого дерева, посох, созданный из живого дерева, или тотем с перьями, мехом, костями и зубами священных животных. Друид может использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. 
91;Тотем (Фокусировка друидов); 1 зм; —;desc::Фокусировка друидов.$ Фокусировкой друида может быть веточка омелы или падуба, палочка или скипетр из тиса или другого дерева, посох, созданный из живого дерева, или тотем с перьями, мехом, костями и зубами священных животных. Друид может использовать эти предметы в качестве фокусировки для заклинаний, как описано в главе 10. 
92;Фонарь, закрытый; 5 зм; 2 фнт.;desc::Фонарь, закрытый.$ Закрытый фонарь испускает яркий свет в пределах 30 футов и тусклый свет в пределах ещё 30 футов. Зажжённый фонарь горит 6 часов от одной фляги (1 пинта [0,5 литра]) масла. Вы можете действием опустить козырёк, уменьшив освещение до тусклого света в пределах 5 футов. 
93;Фонарь, направленный; 10 зм; 2 фнт.;desc::Фонарь, направленный.$ Направленный фонарь испускает яркий свет 60-футовым конусом и тусклый свет в пределах ещё 60 футов. Зажжённый фонарь горит 6 часов от одной фляги (1 пинта [0,5 литра]) масла.  
94;Цепь (10 футов); 5 зм; 10 фнт.;desc::Цепь.$ У цепи 10 хитов. Её можно порвать успешной проверкой Силы со Сл 20. 
95;Чернила (бутылочка 30 грамм); 10 зм; —;
96;Шест (10 футов); 5 мм; 7 фнт.;
97;Шипы, железные (10); 1 зм; 5 фнт.;
98;Шлямбур; 5 мм; 1/4 фнт.;
99;Яд, простой (флакон); 100 зм; —;desc::Яд, простой.$ Вы можете покрыть ядом из этого флакона одно рубящее или колющее оружие или три боеприпаса. Наносится яд одним действием. Существо, по которому попадёт отравленное оружие или боеприпас, должно совершить спасбросок Телосложения со Сл 10, получая в случае провала урон ядом 1к4. Нанесённый яд эффективен 1 минуту, после чего высыхает. 